Symbol,Weight,Currency,Alternative ETF
GXF,10,USD
EWL,10,USD
EWS,10,USD
VTI,10,USD
GERJ,10,USD,EWG
NKY,10,USD,"EWJ, DFJ"
EWN,10,USD
AGG,10,USD,"BND, SCHZ"
JGBL,10,USD,"BWX"
BUNL,10,USD,"BWX"
