Symbol,Weight,Currency,Alternative ETF
RPG,20,USD,IWF
RFG,10,USD,IWP
RZG,10,USD,VBK
DNL,20,USD,EFG
ELD,20,USD,"PCY, EMLC"
EMCB,20,USD,
