Symbol,Weight,Currency,Alternative ETF
ACCU,25,USD,"FWDI"
HUSE,20,USD,"SSAM"
HYLD,10,USD,"JNK, HYG"
BOND,15,USD,"BND, AGG"
WDTI,20,USD,"ALT, PHDG"
PSR,10,USD
