Symbol,Weight,Currency,Alternative ETF
EWRI,15,USD,"IWB, RSP"
EWRS,15,USD,"IWM, VTWO"
EWEF,15,USD,"EFA"
EWEM,15,USD,"VWO"
PLW,15,USD,"TRSY"
CBND,15,USD,"LQD"
PHB,10,USD,"JNK, HYLD"
