Symbol,Weight,Currency,Alternative ETF
PLW,10,USD,"SCHR, VGIT"
CBND,10,USD,"LQD"
PHB,10,USD,"HYLD,JNK"
MBB,10,USD,"VMBS, MBG"
MUB,10,USD,"BAB, PZA"
STPZ,10,USD,"TIP"
ELD,10,USD,"EMLC"
EMB,10,USD,"PCY"
BWX,10,USD,"IGOV"
FLOT,10,USD,"FLTR"
