Symbol,Weight,Currency,Alternative ETF
VYM,20,USD,
DON,12,USD,
DES,12,USD,
DEM,7,USD,
DOL,7,USD,
TLT,15,USD,
JNK,15,USD,
IFGL,10,USD,
