Symbol,Weight,Currency,Alternative ETF
XLK,20,USD,
PSCT,10,USD,"AXIT, VGT"
SSG,20,USD,"PXN, SSG, XSG"
VGT,20,USD,
SKYY,20,USD,
IBB,10,USD,
FDN,10,USD,EIPO
