Symbol,Weight,Currency,Alternative ETF
PDP,20,USD,"FVL, PWC"
NFO,20,USD,"FPX, CSD"
CSM,20,USD,JFT
BIL,10,USD,"BIL, SHY, PLK"
DBC,10,USD,"DBC, DJP"
CEW,10,USD,DBV
PSR,10,USD,"VNQ, RWR"
