CsiNumber,Symbol,Name,Exchange,IsActive,StartDate,EndDate,Sector,Industry,ConversionFactor,SwitchCfDate,PreSwitchCf,LastVolume,Type,ChildExchange,Currency
98823,XQQ,"Ishares NASDAQ 100 Index ETF Hedged",TSX,1,2011-05-10,2015-09-17,,,2,,,7700,Exchange-Traded Fund,Toronto Stock Exchange,CAD
98828,EMAG,"Market Vectors Emerging Markets Aggr Bon",NYSE,1,2011-05-12,2015-09-17,,,2,,,1400,Exchange-Traded Fund,NYSE ARCA,USD
98829,FMK,"First Trust Mega Cap Alphadex Fund ETF",NYSE,1,2011-05-12,2015-09-17,,,2,,,1900,Exchange-Traded Fund,NYSE ARCA,USD
98830,FNK,"First Trust Mid Cap Value Alphadex Fund",NYSE,1,2011-04-20,2015-09-17,,,2,,,18500,Exchange-Traded Fund,NYSE ARCA,USD
98831,CARZ,"First Trust NASDAQ Global Auto Index Fun",OTC,1,2011-05-10,2015-09-17,,,2,,,1300,Exchange-Traded Fund,Nasdaq Global Market,USD
98866,HKK,"IQ Hong Kong Small Cap ETF",NYSE,0,2011-05-18,2011-12-23,,,2,,,,Exchange-Traded Fund,,USD
98881,FYT,"First Trust Small Cap Value Alp",NYSE,1,2011-04-20,2015-09-17,,,2,,,5100,Exchange-Traded Fund,NYSE ARCA,USD
98882,SPHB,"Powershares S&P 500 High Beta P",NYSE,1,2011-05-05,2015-09-17,,,2,,,60100,Exchange-Traded Fund,NYSE ARCA,USD
98930,DLR,"Horizons US Dollar Currency ETF",TSX,1,2011-04-07,2015-09-17,,,2,,,115000,Exchange-Traded Fund,Toronto Stock Exchange,CAD
98931,RUSL,"Direxion Daily Russia Bull 3X S",NYSE,1,2011-05-25,2015-09-17,,,2,,,1215000,Exchange-Traded Fund,NYSE ARCA,USD
98965,ITIP,"Ishares International Inflation-Linkd Bd",NYSE,1,2011-05-20,2015-09-17,,,2,,,200,Exchange-Traded Fund,NYSE ARCA,USD
98966,GTIP,"Ishares Global Inflation-Linked Bond",NYSE,1,2011-05-23,2015-09-17,,,2,,,6700,Exchange-Traded Fund,NYSE ARCA,USD
98984,BDCL,"2Xleveraged Long Exchange Trade",NYSE,1,2011-05-25,2015-09-17,,,2,,,322400,Exchange-Traded Fund,NYSE ARCA,USD
98985,CNPF,"Global Canada Preferred ETF",NYSE,0,2011-05-25,2014-10-16,,,2,,,,Exchange-Traded Fund,,USD
98988,LWPE,"Russell Low P E ETF",NYSE,0,2011-05-19,2013-08-08,,,2,,,,Exchange-Traded Fund,,USD
